date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:28	2648/2648	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261900b1d-a58%22	https://acorn-html-classic-dashboard.coloredstrategies.com/js/vendor/lolight-1.3.0.min.js	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/js/vendor/lolight-1.3.0.min.js	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Interface.Content.Typography.html)
13:39:29	45680/45680	---MCZ	200	added ('OK')	text/html	etag:W/%2261900b1d-b270%22	https://acorn-html-classic-dashboard.coloredstrategies.com/Interface.Content.Menu.html	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/Interface.Content.Menu.html	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Interface.Content.Menu.HorizontalStandard.html)
13:39:30	44453/44453	---MCZ	200	added ('OK')	text/html	etag:W/%2261900b1d-ada5%22	https://acorn-html-classic-dashboard.coloredstrategies.com/Pages.Authentication.html	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/Pages.Authentication.html	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Pages.html)
13:39:30	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2006:39:30%20GMT	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons.eot?33lxn	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons0a26.eot	(from https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/jquery.contextMenu.min.css)
13:39:30	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2006:39:31%20GMT	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons.woff2?33lxn	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons0a26.woff2	(from https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/jquery.contextMenu.min.css)
13:39:31	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2006:39:31%20GMT	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons.woff?33lxn	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons0a26.woff	(from https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/jquery.contextMenu.min.css)
13:39:31	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2006:39:31%20GMT	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons.ttf?33lxn	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/font/context-menu-icons0a26.ttf	(from https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/jquery.contextMenu.min.css)
13:39:31	85044/85044	---M--	200	added ('OK')	font/woff2	etag:W/%2214c34-IxTU1z3Z7Xqi+dGNReccoEQKwKk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3	D:/AdminTemplate/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/fonts/bootstrap-iconse36a.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/bootstrap-icons.css)
13:39:32	113656/113656	---M--	200	added ('OK')	font/woff	etag:W/%221bbf8-iwMfevkU4gI1/+1sa86IUQbrSSw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/fonts/bootstrap-icons.woff?8bd4575acf83c7696dc7a14a966660a3	D:/AdminTemplate/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/fonts/bootstrap-iconse36a.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/bootstrap-icons.css)
13:39:32	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/bootstrap-icons.css)
